dataset,train_size_per_class,fold,model,accuracy,f1_macro,auc_macro,balanced_accuracy,binary_accuracy,binary_f1,binary_auc,binary_balanced_acc
PPMI,89,11,DCM-DNN,0.6481481481481481,0.5915579504632256,0.8040123456790123,0.6481481481481481,0.8333333333333334,0.8656716417910447,0.9143518518518519,0.8472222222222222
PPMI,89,11,PlainDNN,0.6111111111111112,0.5685795685795686,0.7623456790123457,0.6111111111111112,0.7777777777777778,0.8181818181818182,0.892746913580247,0.7916666666666667
PPMI,89,11,LR,0.6666666666666666,0.6475060426279939,0.79320987654321,0.6666666666666666,0.7962962962962963,0.835820895522388,0.8881172839506174,0.8055555555555556
PPMI,89,11,RF,0.6296296296296297,0.6055079469713617,0.8104423868312757,0.6296296296296297,0.7962962962962963,0.8450704225352113,0.8564814814814815,0.7777777777777778
PPMI,89,11,XGBoost,0.6666666666666666,0.6328320802005013,0.7644032921810701,0.6666666666666666,0.7777777777777778,0.8285714285714286,0.8310185185185186,0.7638888888888888
PPMI,89,12,DCM-DNN,0.6981132075471698,0.687683284457478,0.839666977902272,0.6982570806100218,0.8113207547169812,0.8387096774193549,0.9198412698412698,0.8436507936507937
PPMI,89,12,PlainDNN,0.7358490566037735,0.7325757575757575,0.8677871148459384,0.7352941176470589,0.8113207547169812,0.8387096774193549,0.9182539682539682,0.8436507936507937
PPMI,89,12,LR,0.7169811320754716,0.7143055491275975,0.8683473389355743,0.7167755991285403,0.8301886792452831,0.8615384615384616,0.9246031746031746,0.8444444444444444
PPMI,89,12,RF,0.660377358490566,0.6637758301595313,0.8349906629318394,0.6601307189542484,0.7924528301886793,0.8405797101449275,0.888888888888889,0.7753968253968254
PPMI,89,12,XGBoost,0.7735849056603774,0.7744483159117306,0.8481170245876127,0.772331154684096,0.8301886792452831,0.8615384615384616,0.8880952380952382,0.8444444444444444
PPMI,89,13,DCM-DNN,0.6226415094339622,0.6092592592592593,0.7659274821039528,0.6176470588235294,0.8490566037735849,0.8857142857142857,0.9023809523809524,0.8317460317460317
PPMI,89,13,PlainDNN,0.6226415094339622,0.5976800976800977,0.784228135698724,0.6165577342047931,0.7924528301886793,0.835820895522388,0.8674603174603174,0.788888888888889
PPMI,89,13,LR,0.5283018867924528,0.5118157206442436,0.7104652972300031,0.5228758169934641,0.8113207547169812,0.8529411764705882,0.861111111111111,0.8031746031746032
PPMI,89,13,RF,0.5471698113207547,0.5321637426900585,0.7532990974167445,0.5424836601307189,0.7735849056603774,0.8235294117647058,0.8698412698412697,0.7611111111111111
PPMI,89,13,XGBoost,0.5849056603773585,0.5656847689515566,0.7079287270463741,0.579520697167756,0.8113207547169812,0.8529411764705882,0.8531746031746033,0.8031746031746032
PPMI,89,14,DCM-DNN,0.660377358490566,0.6572893223305826,0.8226812947401182,0.664488017429194,0.7547169811320755,0.7936507936507936,0.8259803921568627,0.7883986928104575
PPMI,89,14,PlainDNN,0.5849056603773585,0.5873211755564697,0.7991830065359476,0.5860566448801743,0.6792452830188679,0.746268656716418,0.8031045751633987,0.6707516339869282
PPMI,89,14,LR,0.6226415094339622,0.6156189083820663,0.8021241830065359,0.6241830065359477,0.7358490566037735,0.7941176470588235,0.8341503267973857,0.7279411764705883
