train_size_per_class,fold,model,eval_dataset,accuracy,f1_macro,auc_macro,balanced_accuracy,binary_accuracy,binary_f1,binary_auc,binary_balanced_acc
1000,3,LR,PPMI,0.6774193548387096,0.6830619921325408,0.8429112554112553,0.6772727272727272,0.8064516129032258,0.8604651162790697,0.8904761904761904,0.7654761904761904
1000,3,RF,NACC,0.934010152284264,0.9333614558239759,0.9930647758151047,0.9339580933126982,0.9644670050761421,0.9727626459143969,0.9967486570540006,0.9695234790654639
1000,3,RF,PPMI,0.6290322580645161,0.63000143000143,0.7784902597402598,0.6303030303030304,0.7903225806451613,0.8354430379746836,0.8464285714285714,0.7928571428571429
1000,3,XGBoost,NACC,0.9661590524534687,0.965945523726761,0.9973457421778154,0.9661502451567716,0.9813874788494078,0.9858793324775353,0.9988690981057393,0.9834991132701056
1000,3,XGBoost,PPMI,0.6451612903225806,0.6541060291060291,0.7663059163059164,0.646969696969697,0.8225806451612904,0.8705882352941177,0.8392857142857143,0.7904761904761904
1000,4,DCM-DNN,NACC,0.9632107023411371,0.9625603864734299,0.9992452361472678,0.9626696449724168,0.9832775919732442,0.9873096446700508,0.999699236813414,0.9849493088712609
1000,4,DCM-DNN,PPMI,0.6,0.6053376906318083,0.8073950824795183,0.6192067736185384,0.7454545454545455,0.8157894736842105,0.8365384615384616,0.7099358974358974
1000,4,PlainDNN,NACC,0.9732441471571907,0.9729863269465032,0.998472164784808,0.9728737266050699,0.9933110367892977,0.9949622166246851,0.9995112598217978,0.9925059839342332
1000,4,PlainDNN,PPMI,0.6181818181818182,0.6203718962865304,0.813395981071185,0.6331327985739751,0.7454545454545455,0.8205128205128205,0.8397435897435898,0.6915064102564102
1000,4,LR,NACC,0.9866220735785953,0.9865514905149051,0.9999789005417575,0.9863945578231292,1.0,1.0,1.0,1.0
1000,4,LR,PPMI,0.6181818181818182,0.6196196196196196,0.826586118716009,0.6457219251336899,0.7636363636363637,0.821917808219178,0.8541666666666667,0.7596153846153846
1000,4,RF,NACC,0.9531772575250836,0.9526580700465654,0.9956438729858649,0.9527617016956036,0.9732441471571907,0.9796437659033079,0.9978319986966928,0.9749364011178365
1000,4,RF,PPMI,0.6,0.6097105508870214,0.7804530302155549,0.6147504456327986,0.7454545454545455,0.8157894736842105,0.8125,0.7099358974358974
1000,4,XGBoost,NACC,0.9682274247491639,0.9678867281280175,0.9976366262383997,0.9678986022269603,0.9816053511705686,0.9860583016476553,0.9985839066631578,0.9824617466822061
1000,4,XGBoost,PPMI,0.6363636363636364,0.6372146582672898,0.8331505096210977,0.6551916221033868,0.7636363636363637,0.8266666666666667,0.8461538461538461,0.7411858974358974
2000,0,DCM-DNN,NACC,0.9832915622389307,0.9832024751524878,0.9993297783663849,0.9834162520729685,0.9941520467836257,0.9955835962145111,0.9999060138598228,0.995603015075377
2000,0,DCM-DNN,PPMI,0.6842105263157895,0.6110799499503818,0.8278935939983284,0.6540032679738562,0.8070175438596491,0.8450704225352113,0.9161764705882353,0.8455882352941176
